tweet,dialect,sentiment,sarcasm
كان عندي زميل في العمل محترف جداً في المراوغة.. يستاهل يكون لاعب كرة قدم!,egypt,NEG,True
مع رائحة القهوة العربية الفوّاحة في الصباح، يُصبح الإنسان قادراً على محاربة أي فصيلة قمل.,egypt,NEG,True
أتبولت في طريق الرجوع إلى المنزل وتُلحقني أمطار من النوع المُدامِي للغاية. لحسن حظي، الحشاش كان بيتعشّى.,egypt,NEG,True
ما أجمل الوقت الذي أحمل فيه الروحانية والسكينة، وفي يدي كوب شاي ساخن، وفي الحمّام فقط ورق هايجينكس!,egypt,NEG,True
أحسست بشيء غريب ومع بحثي تبيّن أن زميلتي في العمل أخفت ورقة الإخراج من دفتري.. هل تظن أنها تريدني أن أبقى في المكتب إلى الأبد؟!,egypt,NEG,True
تفضلوا بزيارة موقعي الإلكتروني الجديد وشاركوني رأيكم الصادق، وإن لم تعجبكم المحتوى فأنا مُستعد لتلقي الشتائم والتعليقات الساخرة!,egypt,NEG,True
في العصر الحالي، إذا كنت تشعر بالملل يمكنك دائمًا أن تتجول في قسم الأجهزة الإلكترونية وتوجه شتيمة أو اثنتين إلى الثلاجات الذكية!,egypt,NEG,True
عظمة الطبيعة تظهر في بذور الفول السوداني، حيث يأخذ شكل الجني ضحكةً على محاولاتنا لإزالة قشرته العنيدة!,egypt,NEG,True
يبدو أن الحلم في تحقيق الرشاقة قد استحال تحقيقه مع سيطرة الشيبس وأنواع الآيس كريم المُتنوعة على الدنيا!,egypt,NEG,True
بعض الكلاب تكون أذكى من بعض البشر، وستدرك ذلك عندما تأمُل تعليقاتهم الساذجة على منصات التواصل الاجتماعي!,egypt,NEG,True
الحقيقة إنني بندور كل مرة على شركة جديدة تبتعد فيها عن الفشل، علشان أتأكد إن أنت بتشتغل فيها,egypt,NEG,True
جدَّك إنت كل يوم تقول تلغي السنة الدراسية دي، خليك في مجموعة واتساب الأعداد واغشش بالعافية,egypt,NEG,True
من عناية الله حصلت فاكرين القاهرة الجديدة، ههههههههههههه بقى يوم ما قلت الجديدة لبى قلبك يا مراهف,egypt,NEG,True
والله الموبايل بتاعي ياكل شحمي، أنا من غير ما ألم حالي هيرجعوه أعوذ بالله لسة جديد,egypt,NEG,True
أصلاً إنتوا تجيبوا الفراخ من فين عشان احنا عمرنا ما فيش أبدًا في العشرة الفشة البروستيدة دي,egypt,NEG,True
مش عارف ليه أنا مابحبش الكتب، أمشي أحسن يا استاذ الأدب، أها يعني أعواد الثقاب هما دي إللي على الأرض,egypt,NEG,True
بس شوية بقا بتشحن البرامج دي، قلبي واطي يعني رفع حاجة 10 ميجا بينصفر عندي وشاتزاب بيحذف كل البيانات,egypt,NEG,True
مش أنا قولتلك بقى إنك تشتري الأبل دي، بتحاول تعمل فيها إسبرينتو ويطلعلك كابتشينو خالص,egypt,NEG,True
يعني قال بيزنس، وانا عاوز الزبائن بحالتهم فــــ تاني بُسكويت الصعيدي مش بفتحهم ولا هما عايزين يتشانل,egypt,NEG,True
هو اللي بياخد عبد الحليم حافظ في التوصيلة دي كلها اليس كان عبده شريف روح اعمل فيها إنستا يا إنجيل مجاني احلف بالله,egypt,NEG,True
